id,title,serial,manufacturer_name,frame_model,year,frame_colors,stolen,stolen_location,date_stolen
58366,2000 Specialized unknown,n/a,Specialized,unknown,2000,[u'Black'],True,"San Francisco,CA,94102",2015-09-14
58293,2015 Colnago CX-Zero,absent,Colnago,CX-Zero,2015,[u'Orange'],True,"San Francisco,94103",2015-09-14
57842,2007 Gary Fisher Marlin,SCC5M9222,Gary Fisher,Marlin,2007,[u'White'],True,San Francisco,2015-09-13
57892,2015 Trek,WTU342C1185J,Trek,,2015,[u'Black'],True,"Oakland,94606",2015-09-13
57921,2015 Schwinn Racer,absent,Schwinn,Racer,2015,[u'Green'],True,"Oakland,94612",2015-09-13
58167,1999 LeMond Racing Cycles Zurich,280 51 781 1311,LeMond Racing Cycles,Zurich,1999,"[u'Stickers tape or other cover-up', u'White', u'Red']",True,"San Francisco,94110",2015-09-13
57829,2013 Breezer Greenway,B232IC0030J,Breezer,Greenway,2013,[u'Green'],True,"San Francisco,94110",2015-09-12
57858,2008 Cannondale Synapse Triple,absent,Cannondale,Synapse Triple ,2008,[u'White'],True,"Sf,94110",2015-09-12
57733,2014 Trek 7.3 FX,WTU119C5996H,Trek,7.3 FX,2014,[u'Black'],True,"Berkeley,94705",2015-09-11
57758,Fuji,absent,Fuji,,,"[u'Black', u'White']",True,"San Francisco,CA,94105",2015-09-11
57646,2007 Novara Big Buzz,F04020701,Novara,Big Buzz,2007,[u'Silver or Gray'],True,"San Francisco,94103",2015-09-11
57726,2015 Brompton Bicycle S6L,1502323075,Brompton Bicycle,S6L,2015,[u'Black'],True,"San Francisco,94124",2015-09-11
57631,2004 Trek 5200,WL3136114,Trek,5200,2004,"[u'Blue', u'Silver or Gray']",True,"San Francisco,94103",2015-09-10
57688,2011 Trek Lexa SLX,WTU023C2597F,Trek,Lexa SLX,2011,"[u'White', u'Silver or Gray']",True,"San Francisco,CA,94107",2015-09-10
57845,2000 Giant TCR2,absent,Giant,TCR2,2000,[u'Yellow or Gold'],True,"San Francisco,94110",2015-09-10
57550,2013 Santa Cruz TRC,CFSN B0012LM02504,Santa Cruz,TRC,2013,[u'White'],True,"Larkpsur,94939",2015-09-09
57500,2014 Jamis Coda Sport,u12xu49517,Jamis,Coda Sport,2014,[u'Black'],True,"San Francisco,94117",2015-09-09
57570,2015 Diamondback Century 2,U154K02740,Diamondback,Century 2,2015,[u'Blue'],True,"San Francisco,CA,94105",2015-09-09
57496,2015 Cotic Escapade,absent,Cotic,Escapade,2015,[u'Teal'],True,"Berkeley,94702",2015-09-09
58579,2009 Jamis Coda Sport,absent,Jamis,Coda Sport,2009,[u'Red'],True,"Oakland,94609",2015-09-08
57620,2015 Electra Cruiser 1,WTU003A3303K,Electra,Cruiser 1,2015,[u'Red'],True,"San Francisco,94110",2015-09-08
60088,2011 Specialized Tarmac SL3 Expert Double,STAV410F0071,Specialized,Tarmac SL3 Expert Double,2011,[u'Black'],True,"Lafayette,94549",2015-09-08
60423,Burley Design D'Lite ST,D94805010900535,Burley Design,D'Lite ST,,"[u'Red', u'Black']",True,"Lafayette,94549",2015-09-07
57623,2015 Giant Defy Advanced 2,GB4Z3115,Giant,Defy Advanced 2 ,2015,[u'Black'],True,"Alameda,94501",2015-09-07
57233,2008 Fuji CCR2,absent,Fuji,CCR2,2008,[u'Orange'],True,"San Francisco,94117",2015-09-06
57854,1997 Specialized Stumpjunper,absent,Specialized,Stumpjunper,1997,[u'Green'],True,"Oakland,94607",2015-09-06
57256,2010 Specialized Sirrus Comp,WUD092289160E,Specialized,Sirrus Comp,2010,[u'Silver or Gray'],True,"San Francisco,94110",2015-09-06
57168,2010 Cervélo P2-SL,absent,Cervélo,P2-SL,2010,[u'Yellow or Gold'],True,"San Francisco,94117",2015-09-06
60042,2015 Trek,WTU183C5429H,Trek,,2015,[u'Black'],True,San Francisco,2015-09-05
57014,Trek 1400,absent,Trek,1400,,[u'White'],True,"San Francisco,94115",2015-09-04
57056,Specialized Sirius,absent,Specialized,Sirius,,[u'Silver or Gray'],True,"San Francisco,CA,94102",2015-09-04
56997,2014 Novara Matador 29,U141K25071,Novara,Matador 29,2014,"[u'Black', u'Red']",True,"Alameda,CA,94501",2015-09-03
56998,2013 Fuji B1 2588,1F 1080 1940,Fuji,B1 2588,2013,"[u'White', u'Yellow or Gold', u'Green']",True,"Oakland,CA,94610",2015-09-03
56995,2013 Cannondale Quick 5,JM36452,Cannondale,Quick 5,2013,"[u'Black', u'Red']",True,"Alameda,94501",2015-09-03
57412,2011 Specialized Allez Comp,WSBC602058022F,Specialized,Allez Comp,2011,"[u'Black', u'Red', u'White']",True,"Oakland,94604",2015-09-03
57163,2004 Bike Friday New World Tourist,12587,Bike Friday,New World Tourist,2004,[u'Blue'],True,"San Francisco,94116",2015-09-03
56900,2015 6KU Track,absent,6KU,Track,2015,[u'Yellow or Gold'],True,"San Francisco,94107",2015-09-02
56831,Soma Double Cross Disc,SFBKW0062,Soma,Double Cross Disc,,[u'Black'],True,"San Francisco,94107",2015-09-02
62375,2009 Specialized Dolce Elite Compact,m8ik41531,Specialized,Dolce Elite Compact,2009,"[u'Red', u'Black']",True,"Alameda,CA,94501",2015-09-02
56863,2011 Raleigh Capri 3.0,absent,Raleigh,Capri 3.0,2011,[u'Silver or Gray'],True,"Oakland,94609",2015-09-02
58141,2014 Ibis Ibis MoJo HDR,14HF0307M,Ibis,Ibis MoJo HDR,2014,[u'Black'],True,"Oakland,94609",2015-09-02
58578,2013 PUBLIC bikes c7i,absent,PUBLIC bikes,c7i,2013,[u'Blue'],True,"Oakland,94609",2015-09-01
56780,2009 Surly Pugsley,8094162,Surly,Pugsley,2009,[u'Silver or Gray'],True,"San Francisco,94110",2015-09-01
56765,2009 Redline 3.2,HR0943378,Redline,3.2,2009,"[u'Purple', u'Blue']",True,"Berkeley,94702",2015-09-01
56743,2015 Bianchi Strada,WBK745924K,Bianchi,Strada,2015,"[u'Silver or Gray', u'Green']",True,"San Francisco,CA,94114",2015-08-31
56813,Univega,absent,Univega,,,"[u'Red', u'White']",True,"San Francisco,CA,94103",2015-08-31
56748,2014 Fuji Absolute 1.3 D,SPE025IC0123J,Fuji,Absolute 1.3 D,2014,[u'Red'],True,"San Francisco,94103",2015-08-31
58172,2004 Bianchi Milano Cafe Racer,absent,Bianchi,Milano Cafe Racer,2004,[u'Silver or Gray'],True,"Oakland,94612",2015-08-31
56731,Trek Lexa,wtu175c867g,Trek,Lexa,,[u'Silver or Gray'],True,"Berkeley,CA,94704",2015-08-31
56414,2013 Cannondale Caad10 5 105,absent,Cannondale,Caad10 5 105,2013,[u'Red'],True,"Oakland,94607",2015-08-31
56432,2012 Mission Bicycles,absent,Mission Bicycles,,2012,[u'Blue'],True,"San Francisco,CA,94102",2015-08-30
56425,GT Bicycles Zaskar,absent,GT Bicycles,Zaskar,,"[u'Black', u'Red']",True,"San,94107",2015-08-30
56618,Marin Bikes Larkspur CS2,HA 14642ASE020,Marin Bikes,Larkspur CS2,,[u'Silver or Gray'],True,"Oakland,CA,CA",2015-08-30
56418,2013 Marin Bikes COAST TRAIL WFG,MB3CTWGY17,Marin Bikes,COAST TRAIL WFG,2013,"[u'Black', u'Green', u'Silver or Gray']",True,"San,CA,94107",2015-08-30
56444,2015 Orbea Orca,2211356D12560F6,Orbea,Orca,2015,[u'Black'],True,"Richmond,94804",2015-08-30
56325,2014 Vilano C1 Womens Comfort Road 21 Speed,0720140887,Vilano,C1 Womens Comfort Road 21 Speed,2014,[u'Green'],True,"San Francisco,94115",2015-08-29
56337,LeMond Racing Cycles Reno,absent,LeMond Racing Cycles,Reno,,[u'Purple'],True,"San Francisco,94107",2015-08-29
56377,1999 Kona Lava Dome,H9N18707,Kona,Lava Dome,1999,[u'Purple'],True,"San Francisco,94110",2015-08-28
56319,2015 Norco Bikes VFR 4 Forma,AJ5001384,Norco Bikes,VFR 4 Forma,2015,[u'Black'],True,"San Francisco,94110",2015-08-28
56290,"2014 Giant Liv, Alight",C84A6154,Giant,"Liv, Alight",2014,[u'Black'],True,San Francisco,2015-08-28
57004,2015 Bianchi Impulso Dama,EK3E27870,Bianchi,Impulso Dama,2015,[u'White'],True,"Oakland,94609",2015-08-28
56404,2013 Mission Bicycles Light gray with purple rims and chain,M13011196,Mission Bicycles,Light gray with purple rims and chain,2013,"[u'Silver or Gray', u'Purple']",True,"San Francisco,94103",2015-08-28
61580,2010 Specialized Sirrus Sport X3,WSBC602009203F,Specialized,Sirrus Sport X3,2010,[u'Black'],True,"San Francisco,94114",2015-08-27
57371,"2011 Marin Bikes Bridgeway 17"" 700c",absent,Marin Bikes,"Bridgeway 17"" 700c ",2011,"[u'Yellow or Gold', u'Silver or Gray']",True,"San Francisco,94103",2015-08-27
56112,2015 Magna Mountain Bike Women,T2767082090817,Magna,Mountain Bike Women,2015,[u'Purple'],True,"San Francisco,94103",2015-08-27
56072,1975 Raleigh Grand Prix,wk5004191,Raleigh,Grand Prix,1975,[u'Blue'],True,"San Francisco,94109",2015-08-26
56105,1983 Specialized expedition,absent,Specialized,expedition,1983,[u'Orange'],True,"Oakland,94609",2015-08-26
56279,Trek Soho,EN1475,Trek,Soho,,[u'Silver or Gray'],True,"Berkeley,CA,94710",2015-08-26
