id,title,serial,manufacturer_name,frame_model,year,frame_colors,stolen,stolen_location,date_stolen
64143,2010 Raleigh RX 1.0,absent,Raleigh,RX 1.0,2010,['Silver or Gray'],True,"San Francisco,94107",1449381600
64066,1988 Specialized hybrid,absent,Specialized,hybrid,1988,"['Black', 'Yellow or Gold']",True,"San Francisco,CA,94110",1449381600
55875,2015 Fuji Sportif,wbd232l0077k,Fuji,Sportif,2015,['Black'],True,"Oakland,CA,94608",1449381600
64020,2014 Novara Forza,absent,Novara,Forza,2014,['Silver or Gray'],True,"Alameda,94501",1449381600
64075,2014 Surly Cross-Check,absent,Surly,Cross-Check,2014,['Black'],True,"San Francisco,94103",1449381600
64015,Giant Rapid 3,GU3E1143,Giant,Rapid 3,,['Black'],True,"Berkeley,94703",1449381600
63952,2009 Trek Madone 4.5,WTU297CT024D,Trek,Madone 4.5,2009,['Blue'],True,"San Francisco,94000",1449381600
64102,Cannondale M-800 (I think),absent,Cannondale,M-800 (I think),,"['Green', 'Black']",True,"Oakland,94609",1449381600
64101,1992 Bianchi Nyala,H2A20221,Bianchi,Nyala,1992,"['Red', 'Silver or Gray']",True,"San Francisco,CA,94110-3322",1449381600
63964,2009 Bianchi Nirone,30177039,Bianchi,Nirone,2009,['Teal'],True,"San Francisco,94110",1449381600
63953,Specialized Dolce,absent,Specialized,Dolce,,['Silver or Gray'],True,"San Francisco,94122",1449295200
64154,2004 Bianchi Giro,absent,Bianchi,Giro,2004,"['Teal', 'Blue']",True,"Berkeley,CA,94709",1449295200
64171,2008 LeMond Racing Cycles Alp D'Huez,WL3457771,LeMond Racing Cycles,Alp D'Huez,2008,"['Black', 'Black']",True,"San Francisco,CA,94110",1449295200
63942,Trek 970 SHX Single Track; converted into moped,absent,Trek,970 SHX Single Track; converted into moped,,['Silver or Gray'],True,"San Francisco,94102",1449295200
63926,2015 Santa Cruz Bronson,PS1405EM1648,Santa Cruz,Bronson,2015,['Black'],True,"San Francisco,94109",1449295200
30073,Opus Mondano 2.0,ACF13L004764,Opus,Mondano 2.0,,['White'],True,"Oakland,94618",1449295200
63942,Trek 970 SHX Single Track; converted into moped,absent,Trek,970 SHX Single Track; converted into moped,,['Silver or Gray'],True,"San Francisco,94102",1449295200
64171,2008 LeMond Racing Cycles Alp D'Huez,WL3457771,LeMond Racing Cycles,Alp D'Huez,2008,"['Black', 'Black']",True,"San Francisco,CA,94110",1449295200
64154,2004 Bianchi Giro,absent,Bianchi,Giro,2004,"['Teal', 'Blue']",True,"Berkeley,CA,94709",1449295200
64000,Fuji Declaration,WBD352L1890K,Fuji,Declaration,,['Black'],True,San Francisco,1449208800
64321,Cannondale Quick 2,BM44474,Cannondale,Quick 2,,['White'],True,Oakland,1449208800
63951,1993 Trek 2100,absent,Trek,2100,1993,"['Black', 'Silver or Gray']",True,"San Francisco,94114",1449208800
63906,Trek 1000,tbt0405 ca4ar608,Trek,1000,,['Silver or Gray'],True,"San Francisco,94103",1449208800
64142,Trek Mountain track 850,absent,Trek,Mountain track 850,,['Green'],True,"San Francisco,94103",1449208800
63833,2003 Fuji Finest,absent,Fuji,Finest,2003,"['Silver or Gray', 'Red', 'Black']",True,"San Francisco,94103",1449202237
64308,"2009 Radon TCS 9.2 TR, 55cm",213302 0010 59032122 0509,Radon,"TCS 9.2 TR, 55cm",2009,['Black'],True,"San Francisco,94133",1449122400
64309,2011 Radon TCS 9.0 Disc Lady,W0W 01736F S0211T,Radon,TCS 9.0 Disc Lady,2011,['White'],True,"San Francisco,94133",1449122400
63992,2012 Giant Giant Defy,EN14781,Giant,Giant Defy,2012,['Black'],True,"San Francisco,94158",1449036000
63839,2016 Masi CX Comp,30W5G00160,Masi,CX Comp,2016,['Orange'],True,"San Francisco,94114",1449036000
63738,Vitus,absent,Vitus,,,['Silver or Gray'],True,"Oakland,94609",1449036000
63791,2016 Specialized Sirrus,WSBC602088965K,Specialized,Sirrus,2016,['Blue'],True,San Francisco,1449036000
63708,2015 Specialized Sirrus Sport Disc 15,C6023729835,Specialized,Sirrus Sport Disc 15,2015,['Black'],True,"San Francisco,94107",1448949600
63812,2015 Surly Straggler,M13128131,Surly,Straggler,2015,['Black'],True,"San Francisco,94103",1448949600
63698,2015 Cervélo r2,SNR2D14H00144,Cervélo,r2,2015,['White'],True,"San Francisco,94115",1448949600
59831,Schwinn Fsomething,SF964721,Schwinn,Fsomething,,['Blue'],True,"San Francisco,CA,94103",1448949600
63910,2015 Giant Escape 2 SML BRZ,C4AL0167,Giant,Escape 2 SML BRZ,2015,['Silver or Gray'],True,"San Francisco,94105",1448949600
63727,Vitus Carbon 3,absent,Vitus,Carbon 3,,['Black'],True,Berkeley,1448863200
63640,2011 Raleigh,UO7KI5238,Raleigh,,2011,['Green'],True,"Walnut Creek,94597",1448863200
63699,2013 Surly Cross-Check,M12090767,Surly,Cross-Check,2013,['Black'],True,"San Francisco,94103",1448863200
63605,Bertoni road bike,absent,Bertoni,road bike,,['White'],True,"San Francisco,94114",1448776800
63597,2014 Bianchi Lupo,NX0008321H,Bianchi,Lupo,2014,['Silver or Gray'],True,"San Francisco,94109",1448776800
60190,Schwinn Tourist,SNMNG13A52741,Schwinn,Tourist,,['Silver or Gray'],True,"San Francisco,CA,94102",1448776800
